Age,Gender,Degree,Title,Industry of employer,Size of employer,State of employer in incorporate machine learning into business,Yearly salary,Years of coding experience,Years of experience in machine learning methods,Most frequently used data science platform,Most frequently used big data products,Experience with TPU,Primary tool for analyzing data,Regularly use Python,Regularly use R,Regularly use SQL,Regularly use Scikit-learn,Regularly use TensorFlow,Regularly use Keras,Regularly use PyTorch,Regularly use Xgboost,Regularly use Linear or Logistic Regression,Regularly use Decision Trees or Random Forests,Regularly use Gradient Boosting Machines,Regularly use Bayesian Approaches,Regularly use Convolutional Neural Networks
22-24,Nonbinary,college study without degree,Data Analyst,Manufacturing/Fabrication,250-999 employees,,,< 1 years,I do not use machine learning methods,desktop,,Never,,,Yes,,,,,,,,,,,
55-59,Man,Master's,Software Engineer,Computers/Technology,0-49 employees,recently started,"15,000-19,999",10-20 years,3-4 years,cloud computing platform,MySQL ,Never,Cloud-based data software & APIs,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,,,
18-21,Man,college study without degree,Student,,,,,1-3 years,Under 1 year,laptop,,Never,,Yes,,,,,,,,,,,,
30-34,Woman,Master's,Data Scientist,Other,"10,000 or more employees",recently started,"100,000-124,999",5-10 years,4-5 years,cloud computing platform,,Never,Cloud-based data software & APIs,Yes,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,
40-44,Man,Bachelor's,Research Scientist,Manufacturing/Fabrication,"1000-9,999 employees",I do not know,"70,000-79,999",< 1 years,I do not use machine learning methods,laptop,,Never,Advanced statistical software,,,,,,,,,,,,,
50-54,Man,Master's,Data Engineer,Computers/Technology,"10,000 or more employees",well established,"300,000-499,999",20+ years,I do not use machine learning methods,cloud computing platform,MySQL ,6-25 times,Cloud-based data software & APIs,Yes,,,,,,,,,,,,
35-39,Man,Professional doctorate,Research Scientist,Medical/Pharmaceutical,"10,000 or more employees",for insights only,"200,000-249,999",10-20 years,5-10 years,desktop,PostgreSQL ,2-5 times,Local development environments,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,Yes,,
25-29,Man,Master's,Data Scientist,Online Service/Internet-based Services,"1000-9,999 employees",recently started,"70,000-79,999",1-3 years,1-2 years,laptop,,Never,Local development environments,Yes,,Yes,Yes,,,,,Yes,,,,
55-59,Man,Bachelor's,Software Engineer,Other,50-249 employees,for insights only,"125,000-149,999",20+ years,5-10 years,desktop,Microsoft SQL Server ,Once,Local development environments,Yes,,Yes,,,,Yes,Yes,Yes,Yes,Yes,,
30-34,Man,Master's,Business Analyst,Accounting/Finance,"10,000 or more employees",recently started,"60,000-69,999",1-3 years,Under 1 year,laptop,,Never,Local development environments,Yes,,Yes,Yes,,,,,Yes,Yes,Yes,,
55-59,Man,Bachelor's,Other,Medical/Pharmaceutical,"1000-9,999 employees",exploring,"70,000-79,999",1-3 years,I do not use machine learning methods,desktop,,Never,Business intelligence software,Yes,,Yes,,,,,,,,,,
40-44,Woman,Master's,Other,Academics/Education,50-249 employees,recently started,"25,000-29,999",5-10 years,4-5 years,laptop,,2-5 times,Local development environments,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
55-59,Man,Master's,Data Scientist,Medical/Pharmaceutical,"1000-9,999 employees",recently started,"100,000-124,999",20+ years,1-2 years,cloud computing platform,Google Cloud BigQuery ,Never,Local development environments,Yes,Yes,Yes,,,,,,Yes,,,,
70+,Man,Master's,Other,Energy/Mining,0-49 employees,recently started,"250,000-299,999",3-5 years,2-3 years,laptop,,Never,Local development environments,Yes,,,Yes,Yes,Yes,Yes,,,,,,Yes
22-24,Man,Master's,Student,,,,,5-10 years,3-4 years,laptop,,Never,Local development environments,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
70+,Woman,Master's,Data Analyst,Government/Public Service,"1000-9,999 employees",exploring,"100,000-124,999",20+ years,1-2 years,desktop,Oracle Database ,Never,Local development environments,Yes,,Yes,Yes,,,,,Yes,,,,
22-24,Man,Bachelor's,Currently not employed,,,,,1-3 years,Under 1 year,laptop,,Never,,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,
60-69,Man,Master's,Product Manager,Computers/Technology,0-49 employees,exploring,"80,000-89,999",20+ years,2-3 years,laptop,MySQL ,Never,Local development environments,Yes,,Yes,Yes,,,,,Yes,Yes,,,
30-34,Man,Master's,Data Scientist,Online Business/Internet-based Sales,0-49 employees,recently started,"250,000-299,999",10-20 years,5-10 years,cloud computing platform,Snowflake ,2-5 times,Cloud-based data software & APIs,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,
30-34,Man,Master's,Business Analyst,Accounting/Finance,"1000-9,999 employees",I do not know,"100,000-124,999",I have never written code,,,,,,,,,,,,,,,,,,
55-59,Man,Master's,Data Scientist,Broadcasting/Communications,"10,000 or more employees",well established,"200,000-249,999",20+ years,5-10 years,cloud computing platform,Amazon RDS ,Never,Local development environments,Yes,,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes
30-34,Man,college study without degree,Other,Shipping/Transportation,"10,000 or more employees",I do not know,"40,000-49,999",< 1 years,Under 1 year,laptop,,Once,,,,,,,,,,,,,,
30-34,Man,Master's,Data Scientist,,,,,1-3 years,,desktop,,2-5 times,,Yes,Yes,,,,,,,,,,,
60-69,Man,Master's,Student,,,,,10-20 years,Under 1 year,laptop,,Never,Local development environments,,Yes,,Yes,,,,,,,,,
25-29,Man,Bachelor's,Student,,,,,1-3 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,,,,,,,,,,,,
30-34,Man,Master's,Student,,,,,1-3 years,Under 1 year,laptop,,Never,,Yes,,,Yes,Yes,,Yes,,,,,Yes,
22-24,Man,Master's,Other,Computers/Technology,250-999 employees,do not use,"70,000-79,999",3-5 years,I do not use machine learning methods,laptop,,Never,,Yes,,,,,,,,,,,,
40-44,Man,Master's,Software Engineer,Online Service/Internet-based Services,250-999 employees,exploring,,10-20 years,1-2 years,cloud computing platform,,Never,,,,Yes,,,,,,,,,,
60-69,Man,Master's,Software Engineer,Computers/Technology,50-249 employees,well established,"100,000-124,999",20+ years,2-3 years,desktop,MySQL ,Never,Business intelligence software,Yes,,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,
50-54,Man,Master's,Currently not employed,,,,,20+ years,1-2 years,cloud computing platform,,Never,,Yes,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,
50-54,Man,Bachelor's,Software Engineer,Retail/Sales,"1000-9,999 employees",well established,"250,000-299,999",20+ years,5-10 years,deep learning workstation,,Never,Local development environments,Yes,,,,,Yes,Yes,,Yes,Yes,,,Yes
22-24,Man,Master's,Student,,,,,3-5 years,2-3 years,desktop,,Once,Local development environments,Yes,,Yes,Yes,,,Yes,,Yes,,,,Yes
35-39,Woman,Master's,Data Scientist,Computers/Technology,0-49 employees,do not use,"150,000-199,999",10-20 years,5-10 years,cloud computing platform,Snowflake ,Never,Local development environments,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
30-34,Woman,Master's,Data Engineer,Computers/Technology,250-999 employees,I do not know,0-999,I have never written code,,,,,Business intelligence software,,,,,,,,,,,,,
60-69,Man,Bachelor's,Software Engineer,Other,0-49 employees,I do not know,,10-20 years,1-2 years,laptop,,Never,,Yes,,,Yes,,,,,Yes,,,,
